file,avg_line_len,non_alnum_ratio,empty_line_ratio,risk_score
1---A-20-Year-Old-Woman-from-Sudan-With-Fever--_2022_Clinical-Cases-in-Tropi.txt,318.17,0.003,0.478,20
3---A-26-Year-Old-Woman-from-Malawi-with-Headache-_2022_Clinical-Cases-in-Tr.txt,240.06,0.006,0.484,20
5---A-4-Year-Old-Boy-from-Laos-With-a-Lesion-o_2022_Clinical-Cases-in-Tropic.txt,227.32,0.001,0.474,20
2---A-7-Year-Old-Girl-from-Peru-With-a-Chron_2022_Clinical-Cases-in-Tropical.txt,213.3,0.003,0.488,20
4---A-4-Year-Old-Girl-from-Uganda-in-a-_2022_Clinical-Cases-in-Tropical-Medi.txt,356.68,0.006,0.364,20
6---A-36-Year-Old-Male-Traveller-Returning-from-B_2022_Clinical-Cases-in-Tro.txt,210.65,0.004,0.484,20
9---A-52-Year-Old-Man-from-Vietnam-With-Evo_2022_Clinical-Cases-in-Tropical-.txt,381.26,0.008,0.421,20
ERROR_LOG.txt,86.13,0.16,0.0,40
10---A-55-Year-Old-Indigenous-Woman-from-Australia-W_2022_Clinical-Cases-in-.txt,251.96,0.003,0.462,20
11---A-45-Year-Old-Male-Security-Guard-from-Malawi-_2022_Clinical-Cases-in-T.txt,196.06,0.004,0.491,20
13---A-16-Year-Old-Girl-from-Malawi-With-Fever_2022_Clinical-Cases-in-Tropic.txt,143.51,0.006,0.49,20
12---A-29-Year-Old-Man-from-The-Gambia-With-G_2022_Clinical-Cases-in-Tropica.txt,199.96,0.003,0.478,20
14---A-22-Year-Old-Woman-from-Bangladesh-With-P_2022_Clinical-Cases-in-Tropi.txt,215.07,0.006,0.488,20
16---A-25-Year-Old-Female-School-Teacher-from-Malaw_2022_Clinical-Cases-in-T.txt,225.5,0.007,0.375,20
15---A-3-Year-Old-Boy-from-Laos-With-Right-Sup_2022_Clinical-Cases-in-Tropic.txt,185.29,0.005,0.488,20
17---A-34-Year-Old-Man-from-Thailand-With-Feve_2022_Clinical-Cases-in-Tropic.txt,236.21,0.008,0.25,0
20---A-43-Year-Old-Male-Traveller-Returning-from-M_2022_Clinical-Cases-in-Tr.txt,226.47,0.006,0.267,0
21---A-35-Year-Old-American-Man-With-Fatigue-_2022_Clinical-Cases-in-Tropica.txt,219.03,0.004,0.474,20
19---A-40-Year-Old-Man-from-Togo-With-Subcutaneou_2022_Clinical-Cases-in-Tro.txt,206.09,0.004,0.206,0
23---A-31-Year-Old-HIV-Positive-Business-Traveller-W_2022_Clinical-Cases-in-.txt,264.03,0.01,0.457,20
24---A-14-Year-Old-Boy-from-Rural-Tanzania-With_2022_Clinical-Cases-in-Tropi.txt,244.85,0.002,0.481,20
25---A-72-Year-Old-Male-Farmer-from-Laos-With-Exte_2022_Clinical-Cases-in-Tr.txt,147.81,0.004,0.481,20
26---A-14-Year-Old-Boy-from-Malawi-Who-Has-Bee_2022_Clinical-Cases-in-Tropic.txt,263.43,0.006,0.257,0
27---A-16-Year-Old-Boy-from-Sri-Lanka-With-Fever_2022_Clinical-Cases-in-Trop.txt,227.29,0.005,0.265,0
29---A-35-Year-Old-Woman-from-Malawi-With-Feve_2022_Clinical-Cases-in-Tropic.txt,229.21,0.007,0.211,0
28---A-67-Year-Old-Female-Expatriate-Living-in-Came_2022_Clinical-Cases-in-T.txt,189.67,0.007,0.37,20
22---32-Year-Old-Woman-from-Nigeria-With-Jaund_2022_Clinical-Cases-in-Tropic.txt,218.48,0.004,0.476,20
30---A-12-Year-Old-Boy-from-Rural-Kenya-With_2022_Clinical-Cases-in-Tropical.txt,140.1,0.003,0.286,0
31---A-6-Year-Old-Boy-from-Malawi-With-Fever--Cou_2022_Clinical-Cases-in-Tro.txt,218.6,0.003,0.24,0
32---A-44-Year-Old-Male-Farmer-from-Laos-With-Di_2022_Clinical-Cases-in-Trop.txt,348.2,0.006,0.4,20
33---A-53-Year-Old-Man-from-Malawi-With-a-C_2022_Clinical-Cases-in-Tropical-.txt,233.84,0.01,0.279,0
34---A-35-Year-Old-Male-Farmer-from-Peru-With-a-Chro_2022_Clinical-Cases-in-.txt,231.45,0.004,0.484,20
36---A-23-Year-Old-Farmer-from-Myanmar-With-Uni_2022_Clinical-Cases-in-Tropi.txt,156.65,0.004,0.486,20
35---A-32-Year-Old-Woman-from-Malawi-With-Heada_2022_Clinical-Cases-in-Tropi.txt,255.76,0.007,0.276,0
38---A-24-Year-Old-Female-Globetrotter-With-Strange_2022_Clinical-Cases-in-T.txt,184.24,0.003,0.486,20
40---A-62-Year-Old-Woman-from-Ethiopia-With-D_2022_Clinical-Cases-in-Tropica.txt,260.0,0.002,0.471,20
39---A-30-Year-Old-Male-Chinese-Trader-With-_2022_Clinical-Cases-in-Tropical.txt,189.66,0.01,0.486,20
41---A-7-Year-Old-Girl-from-West-Africa-With-Two-Ski_2022_Clinical-Cases-in-.txt,211.26,0.004,0.452,20
42---A-41-Year-Old-Male-Traveller-Returning-from-Au_2022_Clinical-Cases-in-T.txt,198.15,0.003,0.222,0
45---A-2-Month-Old-Girl-from-Laos-With-Dyspnoea-_2022_Clinical-Cases-in-Trop.txt,186.29,0.004,0.484,20
46---A-45-Year-Old-Man-from-Sri-Lanka-With-Fever-_2022_Clinical-Cases-in-Tro.txt,190.02,0.004,0.489,20
